epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.801,1.72576,4.64697,2.3216,0.18253,0.24863,0.16355,0.06188,1.89697,3.09999,2.91356,0.00332639,0.00332639,0.00332639
2,574.175,1.59129,3.71404,2.19364,0.16426,0.23102,0.11414,0.0406,2.19033,3.87902,3.03978,0.00659379,0.00659379,0.00659379
3,852.932,1.66737,3.32421,2.27407,0.32821,0.23471,0.18761,0.06993,2.23651,3.17684,3.34322,0.00979519,0.00979519,0.00979519
4,1130.24,1.6811,3.03205,2.28597,0.32132,0.26777,0.25213,0.09714,2.02833,2.82348,2.9285,0.009703,0.009703,0.009703
5,1407.82,1.64359,2.81896,2.24222,0.51998,0.34743,0.33454,0.15368,1.95534,2.57714,2.83079,0.009604,0.009604,0.009604
6,1685,1.60635,2.6765,2.19831,0.3434,0.388,0.33765,0.14827,1.94823,2.63575,2.85317,0.009505,0.009505,0.009505
7,1962.84,1.58432,2.55905,2.1695,0.5073,0.42834,0.40644,0.19141,1.85329,2.25738,2.80162,0.009406,0.009406,0.009406
8,2242.06,1.56998,2.48661,2.14353,0.53478,0.46078,0.47841,0.23914,1.83439,2.06622,2.75179,0.009307,0.009307,0.009307
9,2518.9,1.54121,2.36997,2.12443,0.65319,0.47746,0.51028,0.24929,1.80763,2.04412,2.73887,0.009208,0.009208,0.009208
10,2796.97,1.5305,2.32489,2.10278,0.58714,0.48692,0.51363,0.25779,1.74257,1.98781,2.68298,0.009109,0.009109,0.009109
11,3075.38,1.52128,2.25612,2.09796,0.55922,0.51703,0.53821,0.27091,1.80662,1.89236,2.70521,0.00901,0.00901,0.00901
12,3353.48,1.5055,2.20934,2.07904,0.60883,0.53698,0.56475,0.28191,1.76911,1.76005,2.65537,0.008911,0.008911,0.008911
13,3632.28,1.50508,2.14641,2.07612,0.66405,0.50915,0.56075,0.28447,1.80652,1.69488,2.65125,0.008812,0.008812,0.008812
14,3909.02,1.49812,2.11286,2.06212,0.65453,0.55535,0.59103,0.30347,1.77697,1.66648,2.61756,0.008713,0.008713,0.008713
15,4185.26,1.48246,2.08166,2.04686,0.69091,0.52708,0.58904,0.30483,1.72823,1.67298,2.60689,0.008614,0.008614,0.008614
16,4460.45,1.47403,2.02582,2.03383,0.64416,0.52356,0.57505,0.30219,1.73075,1.71063,2.63044,0.008515,0.008515,0.008515
17,4735.99,1.4637,2.01176,2.03521,0.74918,0.58029,0.63788,0.33239,1.72094,1.55672,2.58338,0.008416,0.008416,0.008416
18,5012.03,1.45727,1.98019,2.02257,0.71087,0.58944,0.63893,0.33947,1.69663,1.53508,2.58002,0.008317,0.008317,0.008317
19,5287.66,1.44695,1.94937,2.01745,0.72267,0.59843,0.65797,0.35106,1.69236,1.49204,2.54486,0.008218,0.008218,0.008218
20,5564.06,1.43947,1.88751,2.00644,0.74666,0.62439,0.67619,0.36782,1.66463,1.44315,2.52806,0.008119,0.008119,0.008119
