image,width,height,ip102_class_id,ip102_class,agroguard_group,mapping_status,xmin,ymin,xmax,ymax,bbox_area_percent
IP000000000.jpg,650,420,1,rice leaf roller,Caterpillars,REVIEW,99.0,231.0,524.0,334.0,16.0348
IP000000002.jpg,400,300,1,rice leaf roller,Caterpillars,REVIEW,54.0,61.0,196.0,204.0,16.9217
IP000000002.jpg,400,300,1,rice leaf roller,Caterpillars,REVIEW,207.0,61.0,352.0,221.0,19.3333
IP000000003.jpg,1146,848,1,rice leaf roller,Caterpillars,REVIEW,79.0,247.0,1044.0,789.0,53.8203
IP000000008.jpg,480,394,1,rice leaf roller,Caterpillars,REVIEW,28.0,47.0,379.0,384.0,62.546
IP000000010.jpg,449,341,1,rice leaf roller,Caterpillars,REVIEW,143.0,59.0,276.0,319.0,22.5852
IP000000031.jpg,1200,800,1,rice leaf roller,Caterpillars,REVIEW,1.0,196.0,1007.0,649.0,47.4706
IP000000042.jpg,2048,1536,1,rice leaf roller,Caterpillars,REVIEW,404.0,170.0,1359.0,352.0,5.5253
IP000000042.jpg,2048,1536,1,rice leaf roller,Caterpillars,REVIEW,39.0,431.0,1462.0,1246.0,36.8673
IP000000044.jpg,300,192,1,rice leaf roller,Caterpillars,REVIEW,6.0,53.0,298.0,187.0,67.9306
IP000000046.jpg,300,183,1,rice leaf roller,Caterpillars,REVIEW,12.0,11.0,300.0,155.0,75.541
IP000000047.jpg,690,526,1,rice leaf roller,Caterpillars,REVIEW,246.0,123.0,432.0,492.0,18.9106
IP000000048.jpg,813,581,1,rice leaf roller,Caterpillars,REVIEW,10.0,22.0,797.0,529.0,84.4726
IP000000050.jpg,1024,768,1,rice leaf roller,Caterpillars,REVIEW,113.0,205.0,887.0,585.0,37.3993
IP000000061.jpg,400,280,1,rice leaf roller,Caterpillars,REVIEW,136.0,33.0,200.0,220.0,10.6857
IP000000064.jpg,783,516,1,rice leaf roller,Caterpillars,REVIEW,35.0,191.0,774.0,365.0,31.826
IP000000075.jpg,501,513,1,rice leaf roller,Caterpillars,REVIEW,59.0,91.0,438.0,368.0,40.8474
IP000000077.jpg,2048,1536,1,rice leaf roller,Caterpillars,REVIEW,1.0,152.0,1728.0,654.0,27.5597
IP000000077.jpg,2048,1536,1,rice leaf roller,Caterpillars,REVIEW,48.0,846.0,1801.0,1149.0,16.8851
IP000000082.jpg,268,182,1,rice leaf roller,Caterpillars,REVIEW,40.0,12.0,196.0,37.0,7.9957
IP000000082.jpg,268,182,1,rice leaf roller,Caterpillars,REVIEW,3.0,49.0,191.0,155.0,40.8562
IP000000099.jpg,640,480,1,rice leaf roller,Caterpillars,REVIEW,197.0,38.0,610.0,198.0,21.5104
IP000000099.jpg,640,480,1,rice leaf roller,Caterpillars,REVIEW,211.0,240.0,615.0,349.0,14.3346
IP000000100.jpg,268,192,1,rice leaf roller,Caterpillars,REVIEW,45.0,51.0,210.0,168.0,37.5175
IP000000107.jpg,690,517,1,rice leaf roller,Caterpillars,REVIEW,1.0,44.0,582.0,217.0,28.1762
IP000000107.jpg,690,517,1,rice leaf roller,Caterpillars,REVIEW,32.0,292.0,620.0,381.0,14.6699
IP000000108.jpg,492,333,1,rice leaf roller,Caterpillars,REVIEW,14.0,60.0,472.0,292.0,64.8551
IP000000110.jpg,500,310,1,rice leaf roller,Caterpillars,REVIEW,106.0,77.0,463.0,227.0,34.5484
IP000000114.jpg,1024,768,1,rice leaf roller,Caterpillars,REVIEW,145.0,437.0,793.0,623.0,15.3259
IP000000115.jpg,956,614,1,rice leaf roller,Caterpillars,REVIEW,92.0,32.0,782.0,205.0,20.3362
IP000000115.jpg,956,614,1,rice leaf roller,Caterpillars,REVIEW,137.0,363.0,779.0,544.0,19.7965
IP000000121.jpg,363,360,1,rice leaf roller,Caterpillars,REVIEW,100.0,37.0,256.0,351.0,37.4839
IP000000125.jpg,2048,1536,1,rice leaf roller,Caterpillars,REVIEW,631.0,585.0,1966.0,1076.0,20.8373
IP000000134.jpg,390,272,1,rice leaf roller,Caterpillars,REVIEW,40.0,149.0,319.0,236.0,22.8818
IP000000150.jpg,452,269,1,rice leaf roller,Caterpillars,REVIEW,1.0,21.0,388.0,137.0,36.9214
IP000000150.jpg,452,269,1,rice leaf roller,Caterpillars,REVIEW,77.0,216.0,393.0,269.0,13.7744
IP000000168.jpg,293,220,1,rice leaf roller,Caterpillars,REVIEW,37.0,122.0,248.0,185.0,20.6221
IP000000169.jpg,140,95,1,rice leaf roller,Caterpillars,REVIEW,2.0,22.0,110.0,82.0,48.7218
IP000000177.jpg,550,340,1,rice leaf roller,Caterpillars,REVIEW,87.0,51.0,526.0,254.0,47.6561
IP000000190.jpg,300,200,1,rice leaf roller,Caterpillars,REVIEW,72.0,71.0,240.0,152.0,22.68
IP000000200.jpg,400,300,1,rice leaf roller,Caterpillars,REVIEW,96.0,51.0,219.0,174.0,12.6075
IP000000200.jpg,400,300,1,rice leaf roller,Caterpillars,REVIEW,172.0,96.0,301.0,226.0,13.975
IP000000205.jpg,500,355,1,rice leaf roller,Caterpillars,REVIEW,60.0,81.0,462.0,287.0,46.6546
IP000000209.jpg,300,192,1,rice leaf roller,Caterpillars,REVIEW,4.0,57.0,295.0,186.0,65.1719
IP000000212.jpg,640,480,1,rice leaf roller,Caterpillars,REVIEW,104.0,21.0,526.0,417.0,54.3984
IP000000216.jpg,268,192,1,rice leaf roller,Caterpillars,REVIEW,11.0,43.0,261.0,168.0,60.7315
IP000000225.jpg,450,446,1,rice leaf roller,Caterpillars,REVIEW,111.0,43.0,344.0,428.0,44.6961
IP000000227.jpg,300,210,1,rice leaf roller,Caterpillars,REVIEW,34.0,58.0,260.0,171.0,40.5365
IP000000249.jpg,550,340,1,rice leaf roller,Caterpillars,REVIEW,115.0,54.0,512.0,234.0,38.2139
IP000000253.jpg,550,340,1,rice leaf roller,Caterpillars,REVIEW,82.0,10.0,544.0,200.0,46.9412
IP000000253.jpg,550,340,1,rice leaf roller,Caterpillars,REVIEW,103.0,233.0,533.0,336.0,23.6845
IP000000257.jpg,500,330,1,rice leaf roller,Caterpillars,REVIEW,29.0,72.0,446.0,310.0,60.1491
IP000000272.jpg,293,211,1,rice leaf roller,Caterpillars,REVIEW,11.0,1.0,281.0,203.0,88.2196
IP000000274.jpg,762,858,1,rice leaf roller,Caterpillars,REVIEW,48.0,129.0,728.0,686.0,57.9324
IP000000278.jpg,2048,1399,1,rice leaf roller,Caterpillars,REVIEW,125.0,143.0,1968.0,1365.0,78.6048
IP000000279.jpg,491,500,1,rice leaf roller,Caterpillars,REVIEW,49.0,99.0,453.0,464.0,60.0652
IP000000280.jpg,500,349,1,rice leaf roller,Caterpillars,REVIEW,101.0,61.0,431.0,287.0,42.7393
IP000000281.jpg,1024,683,1,rice leaf roller,Caterpillars,REVIEW,176.0,125.0,792.0,546.0,37.0802
IP000000283.jpg,500,332,1,rice leaf roller,Caterpillars,REVIEW,96.0,91.0,401.0,267.0,32.3373
IP000000285.jpg,500,445,1,rice leaf roller,Caterpillars,REVIEW,41.0,104.0,471.0,412.0,59.5236
IP000000289.jpg,1417,1417,1,rice leaf roller,Caterpillars,REVIEW,137.0,194.0,1281.0,1151.0,54.5253
IP000000290.jpg,365,690,1,rice leaf roller,Caterpillars,REVIEW,79.0,46.0,322.0,647.0,57.9881
IP000000291.jpg,500,405,1,rice leaf roller,Caterpillars,REVIEW,20.0,121.0,489.0,388.0,61.8385
IP000000293.jpg,280,180,1,rice leaf roller,Caterpillars,REVIEW,50.0,32.0,224.0,142.0,37.9762
IP000000298.jpg,640,480,1,rice leaf roller,Caterpillars,REVIEW,208.0,59.0,561.0,297.0,27.3483
IP000000300.jpg,280,315,1,rice leaf roller,Caterpillars,REVIEW,5.0,71.0,260.0,248.0,51.1735
IP000000302.jpg,500,375,1,rice leaf roller,Caterpillars,REVIEW,41.0,38.0,470.0,351.0,71.6144
